X,Y,Estaciones
-41.0945498,-3.568303323,Vicosa do Ceara
-40.34476453,-3.660605378,Sobral
-38.97981068,-3.674750452,Sao Goncalo do Amarante
-40.14993276,-4.332953427,Santa Quiteria
-39.73338815,-7.18305902,Santana do Cariri
-39.28369603,-5.200769967,Quixeramobim
-39.03337388,-4.967000076,Quixada
-39.27230701,-3.795656779,Pentecoste
-38.99792619,-7.68237997,Jati
-39.6359847,-4.528938261,Itatira
-38.56671013,-3.733015857,Funceme
-39.41279228,-7.238344902,Crato
-40.84501096,-2.89998E+15,Camocim
-40.11842646,-2.885907188,Acarau
-40.13283559,-7.199794618,Araripe
-40.11671131,-6.566956914,Aiuaba
-38.12774506,-4.181187788,Beberibe
